,Borough,Neighborhood,Latitude,Longitude
102,Manhattan,Chinatown,40.715618422314364,-73.99427936255984
107,Manhattan,Central Harlem,40.81597606742418,-73.94321112603912
108,Manhattan,East Harlem,40.792249466630366,-73.94418223148531
114,Manhattan,Lincoln Square,40.773528889421705,-73.9853377700127
115,Manhattan,Clinton,40.7583336869064,-73.99640768221386
117,Manhattan,Murray Hill,40.748303077252224,-73.97833207924134
120,Manhattan,East Village,40.72784677727029,-73.98222616506425
122,Manhattan,Tribeca,40.72152196744325,-74.01068328559093
130,Manhattan,Financial District,40.707107107270524,-74.01066544521277
249,Manhattan,Carnegie Hill,40.78268256712574,-73.9532564683712
251,Manhattan,Civic Center,40.71522892046285,-74.00541529873362
252,Manhattan,Midtown South,40.74850966431225,-73.98871313285254
278,Manhattan,Flatiron,40.73967304763847,-73.99094710528267
