,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Address,Distance,Postalcode,City,State,Venue Category
32,Manhattan,Chinatown,40.715618422314364,-73.99427936255984,Bowery CrossFit,40.71781226812158,-73.99262371362899,285 Grand St,281,10002.0,Manhattan,NY,Gym
33,Manhattan,Central Harlem,40.81597606742418,-73.94321112603912,CrossFit Harlem - Afrobrutality Sports,40.81775014717567,-73.93775306423404,,500,,Manhattan,NY,Gym
34,Manhattan,Central Harlem,40.81597606742418,-73.94321112603912,Harlem CrossFit,40.817193567884964,-73.93513753753649,,693,10037.0,Manhattan,NY,Gym
35,Manhattan,East Harlem,40.792249466630366,-73.94418223148531,Crossfit Metropolis,40.78820597637237,-73.94869510882322,156 E 100th St,589,10029.0,Manhattan,NY,Gym
36,Manhattan,Lincoln Square,40.773528889421705,-73.9853377700127,CrossFit SPOT,40.772150921164815,-73.98610786931728,"55 Amsterdam Ave, New York, NY",166,10023.0,Manhattan,NY,Gym / Fitness Center
37,Manhattan,Lincoln Square,40.773528889421705,-73.9853377700127,Crossfit NYC - Upper West Side,40.77441561462417,-73.98109653863573,157 Columbus Ave,370,10023.0,Manhattan,NY,Gym
38,Manhattan,Lincoln Square,40.773528889421705,-73.9853377700127,UWS CrossFit,40.77898642336577,-73.98508910271165,371 Amsterdam Ave,607,10023.0,Manhattan,NY,Athletics & Sports
39,Manhattan,Lincoln Square,40.773528889421705,-73.9853377700127,Crossfit Fifth Ave,40.750642,-73.983243,420 5th Ave,2553,10018.0,Manhattan,NY,Gym
40,Manhattan,Clinton,40.7583336869064,-73.99640768221386,Crossfit Hell's Kitchen,40.75385542742043,-73.99338177687183,315 W 36th St,560,10018.0,Manhattan,NY,Gym
41,Manhattan,Murray Hill,40.748303077252224,-73.97833207924134,CrossFit Solace,40.746171501152894,-73.98316437956309,38 E 32nd St,471,10016.0,Manhattan,NY,Gym / Fitness Center
42,Manhattan,East Village,40.72784677727029,-73.98222616506425,CrossFit East River,40.7254434939673,-73.97846140631547,647 E 9th St,415,10009.0,Manhattan,NY,Gym / Fitness Center
43,Manhattan,Tribeca,40.72152196744325,-74.01068328559093,Crossfit 212 NoHo,40.72704890296336,-73.99511692734373,666 Broadway,1450,10012.0,Manhattan,NY,Gym
44,Manhattan,Tribeca,40.72152196744325,-74.01068328559093,Crossfit USQ,40.73905820968693,-73.99303183011946,,2455,,Manhattan,NY,Gym
45,Manhattan,Tribeca,40.72152196744325,-74.01068328559093,Infighting Shape CrossFit,40.73976494179696,-73.99270471561262,22 W 19th St,2534,10011.0,Manhattan,NY,Athletics & Sports
46,Manhattan,Financial District,40.70710710727053,-74.01066544521277,Crossfit Wall Street,40.70554386423745,-74.01213909064103,60 New St,213,10004.0,Manhattan,NY,Gym
47,Manhattan,Financial District,40.70710710727053,-74.01066544521277,CrossFit 212 FiDi,40.703709001531294,-74.01152898481944,Stone,385,10004.0,Manhattan,NY,Gym / Fitness Center
48,Manhattan,Financial District,40.70710710727053,-74.01066544521277,CrossFit Wall Street,40.70974343802443,-74.00658379822491,111 Fulton St,452,10038.0,Manhattan,NY,Gym / Fitness Center
49,Manhattan,Financial District,40.70710710727053,-74.01066544521277,Oculus Crossfit,40.70977302010993,-74.00655014365609,151 William St,456,10038.0,Manhattan,NY,Gym / Fitness Center
69,Manhattan,Carnegie Hill,40.78268256712574,-73.9532564683712,Crossfit Concrete Jungle,40.782758706068456,-73.94729157655303,309 E 94th St,502,10128.0,Manhattan,NY,Gym
70,Manhattan,Civic Center,40.71522892046285,-74.00541529873362,CrossFit 212 TriBeCa,40.71453743117048,-74.00599852611592,281 Broadway,91,10007.0,Manhattan,NY,Gym
71,Manhattan,Civic Center,40.71522892046285,-74.00541529873362,Crossfit 212,40.71805284050912,-74.00475220100614,84 Franklin St,319,10013.0,Manhattan,NY,Gym / Fitness Center
72,Manhattan,Midtown South,40.74850966431225,-73.98871313285254,CrossFit NYC,40.745898719350095,-73.99009029202607,50 W 28th St,312,10001.0,Manhattan,NY,Gym / Fitness Center
77,Manhattan,Flatiron,40.73967304763847,-73.99094710528267,CrossFit Union Square,40.73531390186451,-73.99186057541449,1 Union Sq,491,10003.0,Manhattan,NY,Gym / Fitness Center
