,Borough,Neighborhood,Latitude,Longitude
6,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988
103,Manhattan,Washington Heights,40.85190252555309,-73.93690027985242
104,Manhattan,Inwood,40.867683964499186,-73.92121042203905
105,Manhattan,Hamilton Heights,40.82360428481197,-73.94968791883373
106,Manhattan,Manhattanville,40.81693442949784,-73.95738539351888
109,Manhattan,Upper East Side,40.77563857330185,-73.96050763135005
110,Manhattan,Yorkville,40.77592984988492,-73.94711784471833
111,Manhattan,Lenox Hill,40.768112658287365,-73.95885968813765
112,Manhattan,Roosevelt Island,40.762403730702246,-73.9494705736962
113,Manhattan,Upper West Side,40.7876579985349,-73.97705923630609
116,Manhattan,Midtown,40.754691102706275,-73.98166882730311
118,Manhattan,Chelsea,40.744034706748025,-74.0031163347282
119,Manhattan,Greenwich Village,40.72693288536132,-73.99991402945909
121,Manhattan,Lower East Side,40.717806748927686,-73.98089031999298
123,Manhattan,Little Italy,40.719323793959106,-73.99730467208079
124,Manhattan,Soho,40.72218384131798,-74.00065666959766
125,Manhattan,West Village,40.734433935724375,-74.00617998126819
126,Manhattan,Manhattan Valley,40.7973070417029,-73.96428617740662
127,Manhattan,Morningside Heights,40.80799973816586,-73.96389627905339
128,Manhattan,Gramercy,40.737209832715045,-73.98137594833548
129,Manhattan,Battery Park City,40.71193198394569,-74.01686930508625
250,Manhattan,Noho,40.72325901885772,-73.98843368023604
273,Manhattan,Sutton Place,40.76028033131378,-73.9635561409431
275,Manhattan,Turtle Bay,40.75204236950726,-73.96770824581843
276,Manhattan,Tudor City,40.74691741074023,-73.97121928722272
277,Manhattan,Stuyvesant Town,40.73099955477065,-73.9740517046921
