,Unnamed: 0,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Address,Distance,Postalcode,City,State,Venue Category
1,1,Bronx,Riverdale,40.89083449389135,-73.91258546108577,Spuyten Duyvil Crossfit,40.887847,-73.907061,3603 Fieldston Rd,571,10463.0,Bronx,NY,Gym / Fitness Center
7,7,Bronx,Morris Heights,40.84789792606274,-73.91967159119572,Crossfit Uws,40.846545299611826,-73.92514653387603,,484,,Bronx,NY,Athletics & Sports
18,18,Bronx,Mott Haven,40.80623874935181,-73.91609987487583,CrossFit SoBro (South Bronx),40.807106109371404,-73.91147735194403,229 Bruckner Blvd,401,10454.0,Bronx,NY,Gym
19,19,Bronx,Mott Haven,40.80623874935181,-73.91609987487583,Crossfit Concrete Jungle,40.808122,-73.930234,"7 Bruckner Blvd, bronx Ny 10454",1209,10454.0,Bronx,NY,Gym / Fitness Center
45,45,Brooklyn,Bay Ridge,40.625801065010684,-74.0306206935382,Bay Ridge Crossfit,40.624142806280226,-74.03082276499144,3rd Avenue,185,11209.0,Brooklyn,NY,Gym / Fitness Center
46,46,Brooklyn,Bay Ridge,40.625801065010684,-74.0306206935382,bayridge crossfit,40.62422697687232,-74.03072659659897,,175,,Brooklyn,NY,Sports Club
51,52,Brooklyn,Greenpoint,40.73020098486474,-73.954240931274,Crossfit Greenpoint,40.73611274835637,-73.9519963753644,188 DuPont St,684,11222.0,Brooklyn,NY,Gym / Fitness Center
59,60,Brooklyn,Greenpoint,40.73020098486474,-73.954240931274,willyb crossfit,40.72946497549162,-73.95069073496587,220 Newel Street,310,,Brooklyn,NY,Gym
60,61,Brooklyn,Greenpoint,40.73020098486474,-73.954240931274,Brooklyn CrossFit : West Street,40.7281508786577,-73.95868520245915,42 West St,438,11222.0,Brooklyn,NY,Gym
63,64,Brooklyn,Gravesend,40.59526001306597,-73.97347087708451,CrossFit Coney Island,40.602854643892606,-73.96901325736928,2034 McDonald Ave,925,11223.0,Brooklyn,NY,Gym
80,81,Brooklyn,Windsor Terrace,40.656945835751074,-73.98007340430179,Crossfit 718,40.66072378554618,-73.99436919730704,148 26th St,1278,11232.0,Brooklyn,NY,Gym
86,87,Brooklyn,Prospect Heights,40.676822262254774,-73.96485924262697,Crow Hill CrossFit,40.677686530548726,-73.95677179098129,1010 Dean St,689,11238.0,Brooklyn,NY,Gym
87,88,Brooklyn,Prospect Heights,40.676822262254774,-73.96485924262697,Crossfit Kingsboro,40.68006491229371,-73.9608380195072,1000 Atlantic Ave,495,11238.0,Brooklyn,NY,Gym / Fitness Center
96,98,Brooklyn,Williamsburg,40.70714439344255,-73.95811529220936,WillyB Crossfit,40.707827833118586,-73.94877866580192,41 Meserole Street,791,,Brooklyn,NY,Gym
109,111,Brooklyn,Bushwick,40.69811611017905,-73.92525797487053,Bushwick CrossFit,40.703433968199775,-73.93095418810843,10 Wilson Ave,762,11237.0,Brooklyn,NY,Gym / Fitness Center
114,116,Brooklyn,Bushwick,40.69811611017905,-73.92525797487053,Crossfit Outbreak,40.695908,-73.93364,1000 Broadway,748,11221.0,Brooklyn,NY,Gym / Fitness Center
127,129,Brooklyn,Bedford Stuyvesant,40.6872316077205,-73.94178488690305,Crossfit Outbreak,40.68684984547669,-73.94175109166726,492 Throop Ave,42,11221.0,Brooklyn,NY,Gym / Fitness Center
165,169,Brooklyn,Red Hook,40.67625323025092,-74.01275897473569,CrossFit Red Hook,40.68119660398171,-74.00834022022251,209 Van Brunt St,664,11231.0,Brooklyn,NY,Gym / Fitness Center
177,181,Brooklyn,Fort Greene,40.688527260189815,-73.97290574369099,CrossFit Prospect Heights,40.68066094103169,-73.97400039656719,623 Bergen St,880,11238.0,Brooklyn,NY,Gym / Fitness Center
202,206,Brooklyn,Canarsie,40.63556432797432,-73.90209269778974,Crossfit Fit Cross II,40.64180047243283,-73.91133785247803,8701 Farragut Rd,1044,11236.0,Brooklyn,NY,Gym
208,213,Brooklyn,Mill Island,40.60633642168567,-73.90818571777432,CrossFit Floyd Bennett Field,40.58991525626021,-73.89955781515174,3159 Flatbush Ave,1968,11234.0,Brooklyn,NY,Sports Club
209,214,Brooklyn,Coney Island,40.574292564716046,-73.98868295821644,CrossFit STEED,40.581405616723316,-73.98444682359695,2705 W 16th St,869,11224.0,Brooklyn,NY,Gym / Fitness Center
216,222,Brooklyn,Marine Park,40.60974777989464,-73.93134404108504,Crossfit Marine Park,40.606168128959396,-73.93010083727226,2119 E 34th St,412,11234.0,Brooklyn,NY,Gym
219,226,Brooklyn,Clinton Hill,40.69322942188155,-73.96784306216374,CrossFit Outbreak,40.69755415417896,-73.96498985427989,10 Grand Ave,538,11205.0,Brooklyn,NY,Gym
