,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Address,Distance,Postalcode,City,State,Venue Category
0,Bronx,Fieldston,40.895437426903875,-73.90564259591689,Spuyten Duyvil Crossfit,40.887847,-73.907061,3603 Fieldston Rd,853,10463,Bronx,NY,Gym / Fitness Center
1,Bronx,Riverdale,40.89083449389134,-73.91258546108577,Spuyten Duyvil Crossfit,40.887847,-73.907061,3603 Fieldston Rd,571,10463,Bronx,NY,Gym / Fitness Center
2,Bronx,Kingsbridge,40.88168737120525,-73.90281798724611,Spuyten Duyvil Crossfit,40.887847,-73.907061,3603 Fieldston Rd,773,10463,Bronx,NY,Gym / Fitness Center
3,Manhattan,Marble Hill,40.87655077879968,-73.91065965862988,Spuyten Duyvil Crossfit,40.887847,-73.907061,3603 Fieldston Rd,1293,10463,Bronx,NY,Gym / Fitness Center
4,Bronx,Norwood,40.877224155994504,-73.87939073956817,Spuyten Duyvil Crossfit,40.887847,-73.907061,3603 Fieldston Rd,2611,10463,Bronx,NY,Gym / Fitness Center
5,Bronx,Bedford Park,40.87018516497537,-73.88551218419137,Spuyten Duyvil Crossfit,40.887847,-73.907061,3603 Fieldston Rd,2674,10463,Bronx,NY,Gym / Fitness Center
6,Bronx,University Heights,40.85572707719668,-73.91041596191317,Crossfit Uws,40.84654529961183,-73.92514653387603,,1607,,Bronx,NY,Athletics & Sports
7,Bronx,Morris Heights,40.84789792606274,-73.91967159119572,Crossfit Uws,40.84654529961183,-73.92514653387603,,484,,Bronx,NY,Athletics & Sports
8,Bronx,Fordham,40.86099679638657,-73.8964265598163,Crossfit Uws,40.84654529961183,-73.92514653387603,,2904,,Bronx,NY,Athletics & Sports
9,Bronx,High  Bridge,40.8366230107061,-73.92610209358138,Crossfit Uws,40.84654529961183,-73.92514653387603,,1107,,Bronx,NY,Athletics & Sports
10,Bronx,High  Bridge,40.8366230107061,-73.92610209358138,CrossFit Harlem - Afrobrutality Sports,40.817750147175666,-73.93775306423404,,2318,,New York,NY,Gym
11,Bronx,High  Bridge,40.8366230107061,-73.92610209358138,CrossFit Equis,40.81975279405422,-73.92175018787384,655 Morris Ave,1913,10451,Bronx,NY,Gym
12,Bronx,High  Bridge,40.8366230107061,-73.92610209358138,Harlem CrossFit,40.81719356788495,-73.93513753753648,,2292,10037,New York,NY,Gym
13,Bronx,Melrose,40.81975437059498,-73.90942160757443,CrossFit SoBro (South Bronx),40.807106109371404,-73.91147735194403,229 Bruckner Blvd,1418,10454,Bronx,NY,Gym
14,Bronx,Melrose,40.81975437059498,-73.90942160757443,CrossFit Equis,40.81975279405422,-73.92175018787384,655 Morris Ave,1038,10451,Bronx,NY,Gym
15,Bronx,Melrose,40.81975437059498,-73.90942160757443,CrossFit Harlem - Afrobrutality Sports,40.817750147175666,-73.93775306423404,,2397,,New York,NY,Gym
16,Bronx,Melrose,40.81975437059498,-73.90942160757443,Crossfit Concrete Jungle,40.808122,-73.930234,"7 Bruckner Blvd, bronx Ny 10454",2179,10454,New York,NY,Gym / Fitness Center
17,Bronx,Melrose,40.81975437059498,-73.90942160757443,Harlem CrossFit,40.81719356788495,-73.93513753753648,,2185,10037,New York,NY,Gym
18,Bronx,Mott Haven,40.80623874935181,-73.91609987487583,CrossFit SoBro (South Bronx),40.807106109371404,-73.91147735194403,229 Bruckner Blvd,401,10454,Bronx,NY,Gym
19,Bronx,Mott Haven,40.80623874935181,-73.91609987487583,Crossfit Concrete Jungle,40.808122,-73.930234,"7 Bruckner Blvd, bronx Ny 10454",1209,10454,New York,NY,Gym / Fitness Center
20,Bronx,Mott Haven,40.80623874935181,-73.91609987487583,CrossFit Harlem - Afrobrutality Sports,40.817750147175666,-73.93775306423404,,2229,,New York,NY,Gym
21,Bronx,Mott Haven,40.80623874935181,-73.91609987487583,CrossFit Equis,40.81975279405422,-73.92175018787384,655 Morris Ave,1577,10451,Bronx,NY,Gym
22,Bronx,Mott Haven,40.80623874935181,-73.91609987487583,Harlem CrossFit,40.81719356788495,-73.93513753753648,,2014,10037,New York,NY,Gym
23,Bronx,Port Morris,40.80166362775625,-73.91322139386142,CrossFit SoBro (South Bronx),40.807106109371404,-73.91147735194403,229 Bruckner Blvd,623,10454,Bronx,NY,Gym
24,Bronx,Port Morris,40.80166362775625,-73.91322139386142,CrossFit Dynamix,40.77793428308367,-73.90354697996085,36-05 20th Ave,2764,11105,Astoria,NY,Gym / Fitness Center
25,Bronx,Port Morris,40.80166362775625,-73.91322139386142,Crossfit Concrete Jungle,40.808122,-73.930234,"7 Bruckner Blvd, bronx Ny 10454",1603,10454,New York,NY,Gym / Fitness Center
26,Bronx,Port Morris,40.80166362775625,-73.91322139386142,CrossFit Harlem - Afrobrutality Sports,40.817750147175666,-73.93775306423404,,2734,,New York,NY,Gym
27,Bronx,Port Morris,40.80166362775625,-73.91322139386142,CrossFit Equis,40.81975279405422,-73.92175018787384,655 Morris Ave,2138,10451,Bronx,NY,Gym
28,Bronx,Port Morris,40.80166362775625,-73.91322139386142,Harlem CrossFit,40.81719356788495,-73.93513753753648,,2529,10037,New York,NY,Gym
29,Bronx,Port Morris,40.80166362775625,-73.91322139386142,Efc Crossfit,40.77540849938759,-73.91088570183538,22-15 31st St,2929,11105,Astoria,NY,Gym
30,Bronx,Longwood,40.815099045458254,-73.89578820094466,CrossFit SoBro (South Bronx),40.807106109371404,-73.91147735194403,229 Bruckner Blvd,1593,10454,Bronx,NY,Gym
31,Bronx,Longwood,40.815099045458254,-73.89578820094466,CrossFit Equis,40.81975279405422,-73.92175018787384,655 Morris Ave,2247,10451,Bronx,NY,Gym
32,Bronx,Longwood,40.815099045458254,-73.89578820094466,Crossfit Concrete Jungle,40.808122,-73.930234,"7 Bruckner Blvd, bronx Ny 10454",3004,10454,New York,NY,Gym / Fitness Center
33,Bronx,Hunts Point,40.809729879387135,-73.88331505955298,CrossFit SoBro (South Bronx),40.807106109371404,-73.91147735194403,229 Bruckner Blvd,2390,10454,Bronx,NY,Gym
34,Bronx,Morrisania,40.82359198585537,-73.90150648943066,CrossFit SoBro (South Bronx),40.807106109371404,-73.91147735194403,229 Bruckner Blvd,2018,10454,Bronx,NY,Gym
35,Bronx,Morrisania,40.82359198585537,-73.90150648943066,CrossFit Equis,40.81975279405422,-73.92175018787384,655 Morris Ave,1758,10451,Bronx,NY,Gym
36,Bronx,Morrisania,40.82359198585537,-73.90150648943066,Harlem CrossFit,40.81719356788495,-73.93513753753648,,2921,10037,New York,NY,Gym
37,Bronx,Morrisania,40.82359198585537,-73.90150648943066,Crossfit Concrete Jungle,40.808122,-73.930234,"7 Bruckner Blvd, bronx Ny 10454",2970,10454,New York,NY,Gym / Fitness Center
38,Bronx,Clason Point,40.806551120035934,-73.85414416189273,Crossfit Mma of Whitestone,40.78683263373473,-73.83710200617963,13-15 131st Street,2623,,Whitestone,NY,Athletics & Sports
39,Bronx,Spuyten Duyvil,40.8813949772709,-73.917190482104,Spuyten Duyvil Crossfit,40.887847,-73.907061,3603 Fieldston Rd,1114,10463,Bronx,NY,Gym / Fitness Center
40,Bronx,North Riverdale,40.9085428295067,-73.90453054908934,Spuyten Duyvil Crossfit,40.887847,-73.907061,3603 Fieldston Rd,2313,10463,Bronx,NY,Gym / Fitness Center
41,Bronx,Concourse,40.834283807338544,-73.91558941773451,CrossFit Equis,40.81975279405422,-73.92175018787384,655 Morris Ave,1698,10451,Bronx,NY,Gym
42,Bronx,Concourse,40.834283807338544,-73.91558941773451,CrossFit Harlem - Afrobrutality Sports,40.817750147175666,-73.93775306423404,,2621,,New York,NY,Gym
43,Bronx,Concourse,40.834283807338544,-73.91558941773451,Crossfit Uws,40.84654529961183,-73.92514653387603,,1584,,Bronx,NY,Athletics & Sports
44,Bronx,Concourse,40.834283807338544,-73.91558941773451,Harlem CrossFit,40.81719356788495,-73.93513753753648,,2516,10037,New York,NY,Gym
45,Brooklyn,Bay Ridge,40.62580106501069,-74.03062069353821,Bay Ridge Crossfit,40.62414280628023,-74.03082276499144,3rd Avenue,185,11209,Bay Ridge,NY,Gym / Fitness Center
46,Brooklyn,Bay Ridge,40.62580106501069,-74.03062069353821,bayridge crossfit,40.62422697687232,-74.03072659659897,,175,,Brooklyn,NY,Sports Club
47,Brooklyn,Bensonhurst,40.61100890202048,-73.99517998380736,CrossFit Coney Island,40.602854643892606,-73.96901325736928,2034 McDonald Ave,2390,11223,Brooklyn,NY,Gym
48,Brooklyn,Sunset Park,40.64510294925433,-74.01031618527792,Crossfit 718,40.66072378554618,-73.99436919730705,148 26th St,2199,11232,Brooklyn,NY,Gym
49,Brooklyn,Sunset Park,40.64510294925433,-74.01031618527792,Bay Ridge Crossfit,40.62414280628023,-74.03082276499144,3rd Avenue,2906,11209,Bay Ridge,NY,Gym / Fitness Center
50,Brooklyn,Sunset Park,40.64510294925433,-74.01031618527792,bayridge crossfit,40.62422697687232,-74.03072659659897,,2893,,Brooklyn,NY,Sports Club
51,Brooklyn,Greenpoint,40.730200984864744,-73.954240931274,True North Training,40.71687709749549,-73.96593519191094,70 River St,1781,11211,Brooklyn,NY,Gym
52,Brooklyn,Greenpoint,40.730200984864744,-73.954240931274,Crossfit Greenpoint,40.73611274835637,-73.9519963753644,188 DuPont St,684,11222,Brooklyn,NY,Gym / Fitness Center
53,Brooklyn,Greenpoint,40.730200984864744,-73.954240931274,CrossFit Gantry,40.74612457212019,-73.9522352960643,10-20 47th Rd,1780,11101,Queens,NY,Gym / Fitness Center
54,Brooklyn,Greenpoint,40.730200984864744,-73.954240931274,CrossFit East River,40.7254434939673,-73.97846140631547,647 E 9th St,2110,10009,New York,NY,Gym / Fitness Center
55,Brooklyn,Greenpoint,40.730200984864744,-73.954240931274,CrossFit Virtuosity,40.719027924652224,-73.94800787522796,98 Bayard St,1350,11222,Brooklyn,NY,Gym
56,Brooklyn,Greenpoint,40.730200984864744,-73.954240931274,CrossFit LIC - Noskov Fitness,40.74979439698375,-73.94735552127253,1305 44th Ave,2257,11101,Long Island City,NY,Gym
57,Brooklyn,Greenpoint,40.730200984864744,-73.954240931274,Crossfit Outbreak,40.71821365256554,-73.94289220547613,208 Frost St,1642,11211,Brooklyn,NY,Gym / Fitness Center
58,Brooklyn,Greenpoint,40.730200984864744,-73.954240931274,LTrain CrossFit,40.71148487197682,-73.94578712977734,667 Grand St,2202,11211,Brooklyn,NY,Gym / Fitness Center
59,Brooklyn,Greenpoint,40.730200984864744,-73.954240931274,WillyB Crossfit,40.707827833118586,-73.94877866580192,41 Meserole Street,2532,,Brooklyn,NY,Gym
60,Brooklyn,Greenpoint,40.730200984864744,-73.954240931274,willyb crossfit,40.729464975491624,-73.95069073496587,220 Newel Street,310,,Brooklyn,NY,Gym
61,Brooklyn,Greenpoint,40.730200984864744,-73.954240931274,Brooklyn CrossFit : West Street,40.7281508786577,-73.95868520245914,42 West St,438,11222,Brooklyn,NY,Gym
62,Brooklyn,Greenpoint,40.730200984864744,-73.954240931274,CrossFit DeBo,40.710137651424134,-73.93635749816895,306 Stagg St,2695,11206,Brooklyn,NY,Gym / Fitness Center
63,Brooklyn,Greenpoint,40.730200984864744,-73.954240931274,Crossfit Outbreak,40.710482,-73.966665,415 Wythe Ave,2432,11249,Brooklyn,NY,Gym
64,Brooklyn,Gravesend,40.59526001306597,-73.97347087708452,CrossFit Coney Island,40.602854643892606,-73.96901325736928,2034 McDonald Ave,925,11223,Brooklyn,NY,Gym
65,Brooklyn,Gravesend,40.59526001306597,-73.97347087708452,CrossFit STEED,40.58140561672332,-73.98444682359695,2705 W 16th St,1799,11224,Brooklyn,NY,Gym / Fitness Center
66,Brooklyn,Brighton Beach,40.576825065666085,-73.96509448785343,CrossFit STEED,40.58140561672332,-73.98444682359695,2705 W 16th St,1713,11224,Brooklyn,NY,Gym / Fitness Center
67,Brooklyn,Brighton Beach,40.576825065666085,-73.96509448785343,CrossFit Coney Island,40.602854643892606,-73.96901325736928,2034 McDonald Ave,2916,11223,Brooklyn,NY,Gym
68,Brooklyn,Sheepshead Bay,40.58689012678388,-73.94318640482987,Crossfit Marine Park,40.606168128959396,-73.93010083727226,2119 E 34th St,2414,11234,Brooklyn,NY,Gym
69,Brooklyn,Sheepshead Bay,40.58689012678388,-73.94318640482987,CrossFit Coney Island,40.602854643892606,-73.96901325736928,2034 McDonald Ave,2814,11223,Brooklyn,NY,Gym
70,Brooklyn,Manhattan Terrace,40.61443251335102,-73.95743840559946,CrossFit Coney Island,40.602854643892606,-73.96901325736928,2034 McDonald Ave,1618,11223,Brooklyn,NY,Gym
71,Brooklyn,Manhattan Terrace,40.61443251335102,-73.95743840559946,Crossfit Marine Park,40.606168128959396,-73.93010083727226,2119 E 34th St,2486,11234,Brooklyn,NY,Gym
72,Brooklyn,Crown Heights,40.67082917695298,-73.9432911907359,Crow Hill CrossFit,40.67768653054873,-73.95677179098129,1010 Dean St,1370,11238,Brooklyn,NY,Gym
73,Brooklyn,Crown Heights,40.67082917695298,-73.9432911907359,Crossfit Kingsboro,40.68006491229371,-73.96083801950718,1000 Atlantic Ave,1803,11238,Brooklyn,NY,Gym / Fitness Center
74,Brooklyn,Crown Heights,40.67082917695298,-73.9432911907359,CrossFit Prospect Heights,40.68066094103169,-73.97400039656718,623 Bergen St,2814,11238,Brooklyn,NY,Gym / Fitness Center
75,Brooklyn,Crown Heights,40.67082917695298,-73.9432911907359,Crossfit Outbreak,40.686849845476694,-73.94175109166727,492 Throop Ave,1788,11221,New York,NY,Gym / Fitness Center
76,Brooklyn,Crown Heights,40.67082917695298,-73.9432911907359,Crossfit Outbreak,40.695908,-73.93364,1000 Broadway,2908,11221,Brooklyn,NY,Gym / Fitness Center
77,Brooklyn,East Flatbush,40.64171776668965,-73.93610256185843,Crossfit Fit Cross II,40.641800472432834,-73.91133785247803,8701 Farragut Rd,2091,11236,Brooklyn,NY,Gym
78,Brooklyn,East Flatbush,40.64171776668965,-73.93610256185843,Crowhill Crossfit,40.650587473474175,-73.9129353301848,800,2191,,Brooklyn,NY,Athletics & Sports
79,Brooklyn,Kensington,40.64238195800357,-73.98042110559481,Crossfit 718,40.66072378554618,-73.99436919730705,148 26th St,2357,11232,Brooklyn,NY,Gym
80,Brooklyn,Windsor Terrace,40.65694583575108,-73.98007340430179,Crossfit South Brooklyn,40.6793845048432,-73.98371438935206,597 Degraw St,2516,11217,Brooklyn,NY,Gym
81,Brooklyn,Windsor Terrace,40.65694583575108,-73.98007340430179,Crossfit 718,40.66072378554618,-73.99436919730705,148 26th St,1278,11232,Brooklyn,NY,Gym
82,Brooklyn,Windsor Terrace,40.65694583575108,-73.98007340430179,CrossFit Prospect Heights,40.68066094103169,-73.97400039656718,623 Bergen St,2689,11238,Brooklyn,NY,Gym / Fitness Center
83,Brooklyn,Windsor Terrace,40.65694583575108,-73.98007340430179,Park Slope Crossfit,40.68155605033434,-73.97951811393598,500 Bergen St,2739,11217,Brooklyn,NY,Gym / Fitness Center
84,Brooklyn,Windsor Terrace,40.65694583575108,-73.98007340430179,Class One Mixed Martial Arts & CrossFit,40.68168067415296,-73.97998644894972,85 4th Ave,2753,11217,Brooklyn,NY,Martial Arts Dojo
85,Brooklyn,Prospect Heights,40.67682226225477,-73.96485924262697,Crossfit South Brooklyn,40.6793845048432,-73.98371438935206,597 Degraw St,1617,11217,Brooklyn,NY,Gym
86,Brooklyn,Prospect Heights,40.67682226225477,-73.96485924262697,CrossFit Prospect Heights,40.68066094103169,-73.97400039656718,623 Bergen St,882,11238,Brooklyn,NY,Gym / Fitness Center
87,Brooklyn,Prospect Heights,40.67682226225477,-73.96485924262697,Crow Hill CrossFit,40.67768653054873,-73.95677179098129,1010 Dean St,689,11238,Brooklyn,NY,Gym
88,Brooklyn,Prospect Heights,40.67682226225477,-73.96485924262697,Crossfit Kingsboro,40.68006491229371,-73.96083801950718,1000 Atlantic Ave,495,11238,Brooklyn,NY,Gym / Fitness Center
89,Brooklyn,Prospect Heights,40.67682226225477,-73.96485924262697,CrossFit Outbreak,40.69755415417896,-73.96498985427989,10 Grand Ave,2307,11205,Brooklyn,NY,Gym
90,Brooklyn,Prospect Heights,40.67682226225477,-73.96485924262697,Park Slope Crossfit,40.68155605033434,-73.97951811393598,500 Bergen St,1345,11217,Brooklyn,NY,Gym / Fitness Center
91,Brooklyn,Prospect Heights,40.67682226225477,-73.96485924262697,Crossfit Outbreak,40.686849845476694,-73.94175109166727,492 Throop Ave,2247,11221,New York,NY,Gym / Fitness Center
