,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Kinetic Sports Club,40.89221928580828,-73.81810901930359,Gym
1,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Xtreme Fitness Westchester,40.91491145533141,-73.83732854039009,Gym
2,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Flex Appeal Gym,40.91491723898867,-73.83733333359596,Gym
3,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Crunch,40.8726353,-73.87484719999999,Gym / Fitness Center
4,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Blink Fitness Yonkers,40.92617646498042,-73.8534625933103,Gym
5,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Planet Fitness,40.86329786974066,-73.83556764832478,Gym / Fitness Center
6,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Blink Gunhill,40.878786963219405,-73.8654270018749,Gym
7,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Blink Fitness Gun Hill,40.87891,-73.86517,Gym
8,Bronx,Wakefield,40.89470517661004,-73.8472005205491,24 Hour Fitness,40.89229756193752,-73.82047365234841,Gym / Fitness Center
9,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Bronx Martial Arts Academy,40.865721,-73.857529,Martial Arts Dojo
10,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Soma Health Club,40.878626647792125,-73.87232191797133,Gym
11,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Powerhouse Gym,40.92558717228817,-73.85546440517064,Gym
12,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Ice Hutch,40.89913676510219,-73.81837173980966,Skating Rink
13,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Mount Vernon Barbell,40.91169084741559,-73.85058190359328,Gym
14,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Rev Cycle Studio,40.902782,-73.86545,Gym / Fitness Center
15,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Jog,40.91142,-73.85294,Gym / Fitness Center
16,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Omni Health and Fitness Complex,40.89199559349656,-73.81869914701822,Gym / Fitness Center
17,Bronx,Wakefield,40.89470517661004,-73.8472005205491,24 Hour Fitness,40.86781839234004,-73.82498414619204,Gym / Fitness Center
18,Bronx,Wakefield,40.89470517661004,-73.8472005205491,FORMFiiT,40.9127183340499,-73.83751273155212,Gym / Fitness Center
19,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Strong Bodies Gym,40.87512195409144,-73.85121889283334,Gym
20,Bronx,Wakefield,40.89470517661004,-73.8472005205491,X-Treme Fitness Gym,40.91402313725544,-73.83756148137026,Gym
21,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Extreme Gyn Mount Vernon,40.915083,-73.837489,Gym
22,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Community Fitness,40.88005458795726,-73.82602833097476,Gym
23,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Omni Gym,40.89203585,-73.818636,Gym
24,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Mount Vernon Sports Club,40.916081,-73.83746,Gym
25,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Expression Tae Kwon Do,40.912503,-73.823167,College Gym
26,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Mosholu Montefiore Community Center,40.87777014162866,-73.8749304568798,Gym / Fitness Center
27,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Amalgamated Gym - by the City Steps,40.88509525720765,-73.89301800078279,Gym
28,Bronx,Wakefield,40.89470517661004,-73.8472005205491,CrossFit Gotham,40.92384963993449,-73.84174778047206,Gym
29,Bronx,Wakefield,40.89470517661004,-73.8472005205491,24 Hour Fitness,40.9237,-73.8587,Gym / Fitness Center
30,Bronx,Wakefield,40.89470517661004,-73.8472005205491,VM fitness room,40.91837692260742,-73.82100677490234,Gym
31,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Bronxville Training by Design,40.9289317581281,-73.84114980697632,Gym / Fitness Center
32,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Private Gym,40.8852364893055,-73.89295484084073,Gym
33,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Baxter Shorin-Ryu Karate Dojo,40.91301146461852,-73.8498768026399,Martial Arts Dojo
34,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Boxingology LLC,40.89855560000001,-73.8389788,Boxing Gym
35,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Hot Yoga Journeys,40.91989517211914,-73.86119842529297,Yoga Studio
36,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Stretch Yoga,40.92029373561437,-73.86747101203787,Yoga Studio
37,Bronx,Wakefield,40.89470517661004,-73.8472005205491,The Yoga Room,40.90853887590573,-73.81125039737576,Yoga Studio
38,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Radiate Yoga,40.911843,-73.81246,Yoga Studio
39,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Relson Gracie Jiu-Jitsu NY,40.883453124929865,-73.8161890115025,Martial Arts Dojo
40,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Prasanthi Studio,40.913233437064896,-73.80874764093181,Yoga Studio
41,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Renzo Gracie Rockland,40.866398417803666,-73.84764094923598,Martial Arts Dojo
42,Bronx,Wakefield,40.89470517661004,-73.8472005205491,American Olympic Karate,40.912571667034165,-73.88296382950608,Martial Arts Dojo
43,Bronx,Wakefield,40.89470517661004,-73.8472005205491,USA Martial Arts,40.865686180297004,-73.86732289036128,Martial Arts Dojo
44,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Ideal & Enhancement Foot Spa,40.91333263620391,-73.80837313128279,Alternative Healer
45,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Weight Watchers (High Ridge Center),40.918961,-73.869489,Weight Loss Center
46,Bronx,Wakefield,40.89470517661004,-73.8472005205491,DRS2HEALTH® Holistic Doctors,40.8783,-73.88061,Alternative Healer
47,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Nirvana Integrative Medicine,40.85978,-73.84365,Doctor's Office
48,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Bronx River Park Running Trails,40.892309710486785,-73.86345692095365,Track
49,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Lincoln Hs Track,40.92291574089207,-73.87305270186398,Track
50,Bronx,Wakefield,40.89470517661004,-73.8472005205491,Train Tracks,40.8607892198023,-73.8573236449103,Track
51,Bronx,Co-op City,40.87429419303015,-73.82993910812405,"iLoveKickboxing - Bronx, NY",40.8528708,-73.8280849,Gym
52,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Planet Fitness,40.86329786974066,-73.83556764832478,Gym / Fitness Center
53,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Kinetic Sports Club,40.89221928580828,-73.81810901930359,Gym
54,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Dolphin Fitness,40.85394190070912,-73.843595864553,Gym
55,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Planet Fitness,40.84829046054853,-73.83087490241945,Gym / Fitness Center
56,Bronx,Co-op City,40.87429419303015,-73.82993910812405,LA Fitness,40.84973909541106,-73.84194912982557,Gym / Fitness Center
57,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Bronx Martial Arts Academy,40.865721,-73.857529,Martial Arts Dojo
58,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Planet Fitness,40.85428219377084,-73.86778531376146,Gym / Fitness Center
59,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Crunch,40.8726353,-73.87484719999999,Gym / Fitness Center
60,Bronx,Co-op City,40.87429419303015,-73.82993910812405,New York Athletic Club (Travers Island),40.88530232163114,-73.78946013193215,Gym / Fitness Center
61,Bronx,Co-op City,40.87429419303015,-73.82993910812405,24 Hour Fitness,40.89229756193752,-73.82047365234841,Gym / Fitness Center
62,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Blink Gunhill,40.878786963219405,-73.8654270018749,Gym
63,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Blink Fitness Gun Hill,40.87891,-73.86517,Gym
64,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Soma Health Club,40.878626647792125,-73.87232191797133,Gym
65,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Ice Hutch,40.89913676510219,-73.81837173980966,Skating Rink
66,Bronx,Co-op City,40.87429419303015,-73.82993910812405,24 Hour Fitness,40.86781839234004,-73.82498414619204,Gym / Fitness Center
67,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Community Fitness,40.88005458795726,-73.82602833097476,Gym
68,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Strong Bodies Gym,40.87512195409144,-73.85121889283334,Gym
69,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Omni Health and Fitness Complex,40.89199559349656,-73.81869914701822,Gym / Fitness Center
70,Bronx,Co-op City,40.87429419303015,-73.82993910812405,WSPT,40.8462915,-73.8423378,Medical Center
71,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Omni Gym,40.89203585,-73.818636,Gym
72,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Thin Is In,40.85126017003757,-73.83003169695941,Gym / Fitness Center
73,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Kd Sessions,40.853359,-73.843275,Gym / Fitness Center
74,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Falk Recreation Center,40.85210353038649,-73.8448602927656,Gym
75,Bronx,Co-op City,40.87429419303015,-73.82993910812405,B-Well Studio,40.854107025311755,-73.85398127352735,Gym / Fitness Center
76,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Bronx Body Fitness,40.846392795821544,-73.83297910951312,Gym / Fitness Center
77,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Curves,40.851436655280104,-73.85193102794608,Gym / Fitness Center
78,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Studio Fitness,40.84635452382291,-73.81968136530611,Gym / Fitness Center
79,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Bronx House Fitness,40.85671688449596,-73.86075784360689,Gym
80,Bronx,Co-op City,40.87429419303015,-73.82993910812405,LA Fitness Offices,40.844056935345684,-73.83859529664026,Gym / Fitness Center
81,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Gym Dandy,40.88618029764821,-73.79143634224977,Gym
82,Bronx,Co-op City,40.87429419303015,-73.82993910812405,NYAC Travers Island Fitness Center,40.885467540127955,-73.79068952088699,Gym
83,Bronx,Co-op City,40.87429419303015,-73.82993910812405,Mosholu Montefiore Community Center,40.87777014162866,-73.8749304568798,Gym / Fitness Center
84,Bronx,Co-op City,40.87429419303015,-73.82993910812405,FinerStudio,40.845729637199675,-73.85861485580061,Gym
